group_id,rand1,rand2,class
group6,0.407872586,1.037360326,classB
group3,0.763715145,-1.033220697,classA
group10,0.854569893,5.388807769,classB
group1,0.553710713,-3.118609542,classA
group3,0.336518833,-1.849318046,classA
group4,0.664233666,-0.31149654,classB
group7,0.942618127,2.953191553,classA
group2,0.115262621,-2.257201968,classB
group6,0.975060076,1.538406904,classB
group8,0.642095999,3.157988173,classB
group4,0.876217772,-0.243051147,classB
group2,0.161135591,-2.116449682,classB
group4,0.387882487,-0.915566711,classB
group1,0.14481157,-3.296389439,classA
group10,0.602942516,5.672699278,classB
group3,0.047628527,-1.340444031,classA
group5,0.139118914,0.045608785,classA
group10,0.926594716,5.96861805,classB
group5,0.809317156,0.882808166,classA
group8,0.388072333,3.144576664,classB
group5,0.080360573,0.60321476,classA
group8,0.994428886,3.08109685,classB
group2,0.677734086,-2.346187189,classB
group9,0.194673434,4.052468977,classA
group8,0.012077188,3.336484425,classB
group9,0.035295762,4.251166,classA
group6,0.804815462,1.176910027,classB
group7,0.683814034,2.363224071,classA
group9,0.622497008,4.651594613,classA
group4,0.357173553,-0.414004734,classB
group5,0.490647256,0.560164592,classA
group10,0.913545504,5.971487545,classB
group9,0.931261389,4.905879027,classA
group7,0.656738029,2.830822639,classA
group3,0.873161768,-1.146643708,classA
group6,0.308205457,1.718801576,classB
group2,0.594816032,-2.352186414,classB
group7,0.804963308,2.025131847,classA
group1,0.344449532,-3.407633221,classA
group3,0.198113794,-1.264684887,classA
group9,0.814840558,4.67791757,classA
group8,0.949917396,3.431010845,classB
group3,0.990938255,-1.67452303,classA
group1,0.669968782,-3.154939849,classA
group10,0.622878833,5.13638527,classB
group3,0.094624416,-1.149667842,classA
group9,0.012363692,4.988446464,classA
group4,0.553250078,-0.157206649,classB
group2,0.315084835,-2.588329727,classB
group10,0.911083385,5.168400868,classB
group10,0.957542349,5.383142797,classB
group8,0.529713156,3.63669159,classB
group6,0.589197107,1.379972846,classB
group1,0.257455579,-3.620222022,classA
group5,0.853139482,0.640131486,classA
group5,0.108802046,0.059443318,classA
group7,0.855881522,2.937121937,classA
group8,0.522178516,3.744141883,classB
group2,0.74222844,-2.82942687,classB
group7,0.552035527,2.67808276,classA
group5,0.018183305,0.23866719,classA
group4,0.456974307,-0.748783796,classB
group2,0.218691923,-2.981042375,classB
group6,0.374961877,1.871369715,classB
group8,0.709862589,3.851253273,classB
group2,0.873717934,-2.566460338,classB
group2,0.884889355,-2.725223853,classB
group8,0.86772212,3.87220198,classB
group7,0.441695072,2.135464582,classA
group3,0.122784748,-1.114992719,classA
group3,0.675047302,-1.627634903,classA
group4,0.578738145,-0.863684829,classB
group1,0.660862565,-3.770462039,classA
group5,0.578132606,0.000493878,classA
group4,0.341664056,-0.549900934,classB
group6,0.38841449,1.923830895,classB
group6,0.004821924,1.243310021,classB
group10,0.530670881,5.583526104,classB
group4,0.555765983,-0.244525885,classB
group9,0.481749637,4.512090225,classA
group4,0.893409088,-0.001507237,classB
group1,0.740939989,-3.461124267,classA
group2,0.619368369,-2.725604733,classB
group6,0.057866552,1.297048273,classB
group7,0.236041239,2.261364128,classA
group5,0.133316697,0.439505727,classA
group1,0.521320472,-3.66976145,classA
group1,0.005878522,-3.207593331,classA
group10,0.033118683,5.310804782,classB
group5,0.21697141,0.434295276,classA
group3,0.174076944,-1.558145362,classA
group6,0.267286069,1.608599934,classB
group9,0.421491364,4.563536111,classA
group9,0.431494519,4.404041918,classA
group10,0.682804606,5.5450414,classB
group1,0.117025732,-3.080919298,classA
group8,0.463096792,3.481418357,classB
group7,0.917594994,2.053163311,classA
group7,0.727470714,2.981201139,classA
group9,0.523041917,4.007382023,classA
